region,order_year,order_month,total_sales,total_profit,order_count
Nunavut,2011,7,8579.6,-570.09,8524
Nunavut,2010,9,1168.04,-122.98,7243
Northwest Territories,2012,10,19213.28,2475.23,42899
Northwest Territories,2011,8,16927.58,3203.05,50335
Northwest Territories,2010,11,6648.78,16.46,22410
Northwest Territories,2010,4,1519.9,399.37,11456
Northwest Territories,2011,7,965.69,-144.2,11495
Northwest Territories,2010,2,22175.79,-13.51,25408
Northwest Territories,2011,9,209.0,12.32,13702
Northwest Territories,2011,4,7667.25,0.62,89106
Northwest Territories,2011,3,6358.87,833.98,30410
Northwest Territories,2012,6,426.34,73.53,15591
Nunavut,2012,10,10688.25,534.36,6093
Nunavut,2011,6,998.62,73.66,1226
Nunavut,2012,8,161.51,1.04,2473
Nunavut,2012,4,3315.82,301.9,2688
Nunavut,2011,1,911.86,-12.36,4554
Nunavut,2010,4,118.97,-0.06,5569
Nunavut,2010,6,1187.94,211.93,14346
Northwest Territories,2011,5,4951.69,402.22,57050
Northwest Territories,2009,3,86.48,-132.89,22566
Northwest Territories,2009,8,2886.68,181.14,25545
Northwest Territories,2009,1,1221.57,-236.54,25542
Northwest Territories,2009,9,779.44,-277.71,26560
Northwest Territories,2009,7,1020.61,-209.61,13313
Northwest Territories,2011,1,5769.1,928.23,45318
Nunavut,2010,10,261.54,-213.25,3
Nunavut,2011,3,3478.64,-1012.69,3721
Nunavut,2012,6,2503.53,229.85,8271
Nunavut,2012,2,5126.01,-40.32,2308
Nunavut,2010,12,26252.05,2876.61,4737
Nunavut,2011,8,13363.4,2722.9,34205
Nunavut,2012,1,257.19,-3.41,11425
Nunavut,2011,11,8355.53,-500.18,32796
Nunavut,2009,3,9620.82,-1759.58,6116
Nunavut,2011,9,520.64,-16.23,16838
Northwest Territories,2009,11,2799.7,884.08,9126
Northwest Territories,2010,8,11210.86,1053.44,60592
Northwest Territories,2012,1,1480.9,-17.26,25671
Northwest Territories,2012,9,12699.25,4508.59,24192
Northwest Territories,2011,12,3019.41,1269.05,12289
Northwest Territories,2010,1,10646.83,2644.56,29638
Nunavut,2010,8,540.96,35.37,1030
Nunavut,2010,2,364.7,-303.64,7658
Nunavut,2010,11,821.51,-182.22,8912
Nunavut,2011,5,1921.65,797.18,15824
Nunavut,2009,11,248.26,93.8,998
Nunavut,2010,3,976.79,-159.05,6732
Nunavut,2011,10,708.11,61.05,5064
Nunavut,2009,10,7288.7,234.89,16279
Nunavut,2012,5,3766.3,-794.38,12357
Nunavut,2009,1,1798.5,571.95,19084
Nunavut,2011,12,61.87,-50.33,5607
Nunavut,2009,8,623.36,19.46,11788
Nunavut,2012,7,385.8,-184.07,12364
Northwest Territories,2011,10,25573.18,5138.06,49778
Northwest Territories,2012,11,5984.29,305.74,56357
Northwest Territories,2012,3,376.67,46.77,23554
Northwest Territories,2010,6,4752.17,70.51,23882
Northwest Territories,2012,5,121.12,-118.82,16039
